transaction_id,account_id,customer_id,txn_date,txn_ts,amount,txn_type,merchant_name,mcc_code
TXN-B1-001,A001,C001,2024-01-05,2024-01-05 08:15:00,-250.00,DEBIT,Whole Foods Market,5411
TXN-B1-002,A001,C001,2024-01-05,2024-01-05 17:30:00,4200.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B1-003,A002,C001,2024-01-07,2024-01-07 12:45:00,-89.99,DEBIT,Amazon.com,5999
TXN-B1-004,A003,C002,2024-01-08,2024-01-08 09:00:00,-1875.00,DEBIT,MORTGAGE PAYMENT,6552
TXN-B1-005,A003,C002,2024-01-10,2024-01-10 14:22:00,-45.00,DEBIT,Shell Oil,5541
TXN-B1-006,A004,C002,2024-01-11,2024-01-11 11:00:00,5500.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B1-007,A005,C003,2024-01-12,2024-01-12 18:30:00,-350.00,DEBIT,Delta Airlines,4511
TXN-B1-008,A005,C003,2024-01-14,2024-01-14 08:00:00,-1200.00,DEBIT,Rent Payment,6552
TXN-B1-009,A006,C003,2024-01-15,2024-01-15 10:15:00,3800.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B1-010,A006,C003,2024-01-17,2024-01-17 13:45:00,-75.50,DEBIT,CVS Pharmacy,5912
TXN-B1-011,A007,C004,2024-01-18,2024-01-18 09:30:00,-120.00,DEBIT,Home Depot,5200
TXN-B1-012,A007,C004,2024-01-20,2024-01-20 16:00:00,6200.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B1-013,A008,C005,2024-01-22,2024-01-22 11:20:00,-310.00,DEBIT,Whole Foods Market,5411
TXN-B1-014,A008,C005,2024-01-25,2024-01-25 14:00:00,-199.00,DEBIT,United Airlines,4511
TXN-B1-015,A001,C001,2024-01-31,2024-01-31 08:00:00,-1200.00,DEBIT,Rent Payment,6552
